Food_Category,Temperature_C,Humidity_%,Storage_Days,Packaging,Moisture_%,pH,Refrigerated,Transport_Hours,Risk
Fruits,33.9,65,38,Average,13.4,6.9,No,5,Reject
Fruits,6.2,52,29,Good,78.9,5.7,Yes,24,Caution
Grains,12.6,85,53,Good,75.9,4.3,No,16,Caution
Fruits,12.7,88,39,Average,76.9,6.7,No,1,Reject
Fruits,9,40,15,Good,40.5,6.1,Yes,17,Caution
Meat,9.8,81,22,Average,38.1,6.3,Yes,16,Caution
Dairy,22.9,46,54,Good,73.7,3.9,Yes,7,Caution
Meat,11.2,51,20,Good,40.2,3.9,Yes,15,Caution
Vegetables,16.1,80,48,Average,34,4.2,No,14,Reject
Grains,26.8,78,14,Damaged,62.4,5,No,9,Caution
Meat,9.5,47,18,Good,69.5,5.2,Yes,9,Caution
Fruits,24.5,64,37,Good,71.3,5.4,No,10,Reject
Vegetables,11.1,48,8,Good,61.5,6,Yes,10,Safe
Dairy,7.9,95,40,Average,22.5,6.4,No,18,Reject
Grains,1.8,68,2,Good,49.4,4.5,No,15,Safe
Vegetables,23.1,75,7,Good,35.3,4.3,Yes,7,Safe
Meat,28.8,95,44,Average,36,3.5,No,24,Reject
Grains,33.7,61,15,Damaged,12.6,4.4,No,10,Caution
Meat,1.4,73,60,Good,44.8,5.2,Yes,18,Caution
Fruits,26.5,80,20,Good,23.3,3.8,No,12,Reject
Grains,26.9,50,31,Good,87.5,4,No,14,Caution
Grains,34.3,54,26,Damaged,28,5.8,No,11,Reject
Grains,5.2,56,52,Good,88.2,6.4,No,14,Caution
Meat,20.4,80,31,Average,25.7,6.2,No,3,Reject
Vegetables,20.4,61,32,Damaged,40,4.7,Yes,2,Reject
Fruits,10.3,87,28,Average,66.6,6.1,Yes,17,Reject
Grains,9.3,76,16,Damaged,17.8,6.4,No,19,Reject
Meat,31.9,89,25,Good,45.6,4.1,No,3,Reject
Vegetables,19,64,34,Good,34.6,6.2,No,10,Reject
Grains,13.5,85,11,Good,32.4,3.8,No,12,Caution
Fruits,4.1,60,23,Good,46.9,4.3,No,8,Caution
Vegetables,24.3,67,26,Average,70.8,3.5,Yes,8,Caution
Fruits,26.1,75,9,Average,47.3,3.9,Yes,14,Caution
Meat,12.2,45,56,Good,66,4.6,No,21,Reject
Meat,21.8,53,15,Good,34.8,3.5,Yes,9,Caution
Meat,17.9,91,19,Good,46.7,4.1,No,5,Reject
Meat,6.9,41,38,Damaged,69.7,5.5,Yes,6,Caution
Dairy,7.3,57,51,Good,26.7,6.3,Yes,22,Caution
Fruits,8.4,74,48,Average,9.4,3.2,Yes,14,Caution
Vegetables,23,94,2,Good,37.5,5,Yes,19,Caution
Vegetables,8.6,90,5,Good,19.8,5.8,No,11,Caution
Vegetables,10.7,93,44,Damaged,25.4,3.3,No,16,Reject
Vegetables,10.6,84,25,Good,39.9,3.4,No,18,Reject
Dairy,33.3,92,7,Damaged,71.9,4.8,Yes,20,Reject
Grains,20.8,55,11,Good,14.5,5.2,No,14,Caution
Dairy,13,74,14,Good,55.3,6,Yes,6,Safe
Vegetables,6.6,64,60,Good,35.1,4.8,Yes,2,Safe
Grains,20.8,66,21,Good,26.6,3.8,No,18,Caution
Vegetables,13.5,52,24,Average,44.9,4.6,Yes,9,Caution
Vegetables,2.1,91,1,Good,69.4,7.1,No,6,Caution
Dairy,18,62,45,Average,67.5,6.8,No,17,Reject
Meat,31.9,85,26,Average,29.6,4.7,Yes,9,Caution
Fruits,28.4,78,44,Good,12.2,6.2,Yes,21,Caution
Vegetables,20.8,76,35,Good,37.1,6.3,Yes,12,Caution
Meat,17.8,55,30,Good,66.6,6.8,Yes,14,Caution
Dairy,21.8,94,33,Average,83.5,7,Yes,18,Reject
Vegetables,29.9,46,50,Good,51.4,4,No,5,Reject
Dairy,7.4,66,50,Average,59.8,5.8,No,16,Reject
Meat,22.8,42,33,Damaged,58.9,6.9,No,17,Reject
Meat,3.9,94,54,Good,46.5,4.5,Yes,1,Caution
Meat,21.5,73,44,Good,49.5,4.4,Yes,23,Caution
Fruits,32.9,84,17,Good,89.2,4,Yes,10,Caution
Meat,25.6,90,31,Good,62.4,6.1,Yes,5,Caution
Fruits,21.2,40,11,Average,45.9,4,No,14,Reject
Fruits,6.2,64,26,Good,54.8,5.4,Yes,7,Safe
Vegetables,4.7,77,22,Average,73.6,5.6,Yes,21,Caution
Vegetables,20.2,49,36,Average,17.9,4.3,Yes,4,Caution
Grains,31,67,30,Good,59.2,6.1,No,23,Caution
Dairy,33.5,51,44,Average,89,6.7,No,9,Reject
Fruits,7.6,90,26,Good,36.7,3.3,No,15,Reject
Fruits,10.9,53,47,Good,71.9,5.6,Yes,20,Caution
Meat,16.8,82,37,Good,86.1,5,Yes,13,Caution
Vegetables,27.8,62,3,Average,39.2,4.8,Yes,10,Caution
Vegetables,31.2,53,8,Average,12.8,6.5,No,24,Reject
Vegetables,12.1,79,51,Good,18.6,6.5,Yes,9,Caution
Grains,28.6,63,32,Average,67.1,4.1,No,17,Reject
Grains,23.9,49,23,Good,39.4,3.5,No,24,Caution
Fruits,28.2,92,50,Average,19.4,4.2,No,11,Reject
Dairy,28,79,19,Damaged,85.4,6.3,Yes,12,Reject
Meat,26.3,72,2,Good,54.9,5,No,11,Caution
Grains,27.2,67,34,Damaged,32,3.4,No,19,Reject
Dairy,14.6,64,57,Good,58.5,3.9,Yes,12,Caution
Grains,29.6,56,43,Good,45.6,6.2,No,5,Caution
Fruits,24.7,47,48,Good,31.4,3.9,No,20,Reject
Meat,7.1,75,12,Damaged,89.7,4.8,Yes,9,Caution
Meat,7,40,43,Average,20.9,6.8,Yes,23,Caution
Meat,14.7,59,19,Good,53.7,4,Yes,5,Caution
Vegetables,30.7,64,53,Good,31,3.4,No,24,Reject
Dairy,14.7,63,1,Damaged,78.5,4.4,Yes,22,Caution
Dairy,0.4,93,42,Good,26,4.2,Yes,4,Caution
Grains,27,95,46,Good,47.6,6.9,No,22,Reject
Vegetables,29.2,43,3,Good,48.7,6.3,Yes,3,Safe
Meat,31.3,57,21,Damaged,52.2,6.4,No,8,Reject
Grains,0.5,72,47,Average,68.9,4.4,No,8,Caution
Fruits,17.6,45,9,Average,42.6,6,Yes,1,Caution
Vegetables,9.2,74,54,Good,33.8,4.4,No,5,Caution
Grains,12.3,43,9,Good,39.1,6.7,No,19,Caution
Grains,9.5,66,60,Average,11.8,5.7,No,11,Caution
Vegetables,18.2,83,55,Average,37.2,6.4,No,2,Reject
Vegetables,24.5,66,53,Average,55,3.5,Yes,10,Caution
Meat,28,43,53,Average,10.5,4.2,Yes,13,Reject
Meat,14,43,28,Good,60.8,3.5,Yes,17,Caution
Meat,24.3,62,17,Good,17.4,3.8,Yes,16,Caution
Dairy,32.1,83,2,Damaged,43.3,7,Yes,1,Caution
Vegetables,7.5,75,53,Average,35.7,5.1,Yes,16,Caution
Dairy,12.8,81,39,Good,17.6,4.6,No,22,Reject
Vegetables,10.1,74,59,Good,73.1,4,No,3,Caution
Vegetables,26.2,81,35,Good,85.7,7,Yes,22,Caution
Dairy,2.2,71,9,Good,50.6,4.9,Yes,12,Safe
Meat,31.2,49,30,Damaged,83.8,5.3,Yes,17,Reject
Vegetables,18.5,89,4,Average,81.2,6.3,Yes,8,Caution
Meat,29.2,47,51,Average,48.1,6.3,No,22,Reject
Grains,26.6,46,32,Good,43.1,6.2,No,20,Caution
Dairy,14.8,67,24,Good,59,6.7,No,5,Caution
Fruits,32.9,90,47,Damaged,85.5,6.7,Yes,19,Reject
Dairy,2.5,60,50,Good,64.1,5.7,No,15,Caution
Dairy,9.2,43,35,Average,28.4,5.3,Yes,24,Caution
Fruits,14.7,66,10,Damaged,61,5.7,No,9,Reject
Fruits,20.3,67,32,Good,70.7,4.8,No,6,Reject
Dairy,15.5,58,60,Average,63.9,4.2,Yes,10,Caution
Fruits,24.6,49,57,Good,24.4,6.4,Yes,16,Caution
Fruits,8.6,75,20,Damaged,53.5,3.6,Yes,17,Reject
Vegetables,7.1,60,25,Good,88.2,7.1,Yes,23,Caution
Dairy,9.8,63,42,Damaged,43.5,5.6,Yes,23,Reject
Grains,12.8,68,31,Good,41.6,5.6,No,8,Caution
Dairy,11.5,53,47,Average,55.9,5.4,No,19,Reject
Vegetables,9.8,95,13,Damaged,85.9,4.7,Yes,9,Caution
Dairy,25.1,44,37,Good,37.4,3.3,No,4,Reject
Dairy,31.3,53,19,Average,22,7.1,Yes,21,Reject
Grains,26.4,49,59,Good,28.6,5.9,No,2,Caution
Grains,33.1,74,20,Average,35.6,5.1,No,6,Caution
Grains,30.9,48,35,Average,82.1,7,No,7,Caution
Meat,10.9,64,31,Good,80.7,3.9,Yes,22,Caution
Grains,6.6,78,55,Good,64.5,3.2,No,20,Caution
Fruits,3.9,80,52,Average,80.3,4.1,Yes,16,Caution
Dairy,16,49,47,Good,14.8,4.2,Yes,8,Caution
Grains,0,47,38,Good,29.5,3.2,No,3,Safe
Meat,5.6,84,20,Good,63.1,6.8,No,7,Caution
Meat,34.5,69,35,Good,14.4,5.9,No,14,Reject
Vegetables,28.4,67,53,Good,45.5,6.2,Yes,22,Caution
Dairy,1,64,40,Good,58.7,3.6,No,14,Caution
Grains,28.5,48,34,Average,62.1,4.4,No,1,Caution
Fruits,22.1,87,3,Good,29.5,3.2,No,19,Reject
Grains,4.3,89,39,Good,14.4,6.3,No,16,Caution
Vegetables,12.6,65,43,Damaged,43,5.6,Yes,10,Caution
Meat,27.7,85,24,Average,13.1,4.8,Yes,22,Reject
Fruits,7.8,46,48,Good,30.3,4.8,Yes,7,Safe
Grains,14,78,37,Damaged,54.8,3.6,No,1,Caution
Meat,14.2,69,3,Good,61.5,3.2,Yes,7,Safe
Grains,12.6,82,30,Good,8.3,7,No,2,Caution
Grains,5,78,38,Good,75.7,5.2,No,21,Caution
Vegetables,9.5,66,50,Good,45.3,6.3,Yes,3,Caution
Dairy,6,80,9,Good,30,3.7,Yes,21,Safe
Fruits,30.6,74,21,Damaged,11.2,5,Yes,18,Reject
Vegetables,3.4,58,46,Damaged,50.4,4.9,Yes,16,Caution
Meat,20.7,48,56,Damaged,83,3.5,Yes,6,Reject
Dairy,29.3,81,57,Good,59.7,5.4,Yes,14,Caution
Grains,26.1,93,31,Good,12.4,6.4,No,3,Caution
Grains,2.2,58,22,Good,35.2,5.1,No,16,Caution
Meat,3.1,52,60,Good,10.8,5.8,Yes,13,Caution
Fruits,13.4,92,22,Good,70.1,4.1,No,10,Reject
Fruits,5.5,79,8,Good,53.1,4.2,No,20,Caution
Meat,7.8,65,53,Damaged,13.5,5.4,No,2,Reject
Grains,20.7,54,28,Good,16.6,5.3,No,3,Caution
Dairy,5.4,57,27,Average,67.5,5.4,Yes,12,Caution
Vegetables,23.6,84,9,Good,40.8,5.4,Yes,2,Caution
Dairy,2.9,87,38,Average,87.9,5.1,Yes,23,Caution
Meat,32,86,21,Good,9.8,5.5,No,7,Reject
Vegetables,4.8,89,31,Good,65.7,4.1,Yes,12,Caution
Dairy,34.5,83,27,Average,42.9,3.5,Yes,20,Reject
Vegetables,25.1,63,43,Good,57.3,3.9,Yes,8,Caution
Vegetables,5,89,36,Good,79.5,6.4,Yes,12,Caution
Vegetables,10.8,82,47,Good,11,4.3,No,1,Caution
Fruits,15.9,94,7,Good,73.8,6.8,Yes,22,Caution
Meat,1.2,76,30,Good,18.8,3.4,Yes,23,Caution
Meat,7.2,83,15,Good,69.7,6,Yes,19,Safe
Fruits,0.8,48,58,Good,13,5.5,Yes,14,Caution
Dairy,3.2,67,52,Damaged,51.5,3.3,No,17,Reject
Dairy,14.3,57,2,Average,50,4.4,Yes,24,Caution
Dairy,34.5,74,22,Good,88.5,4.9,Yes,5,Caution
Vegetables,24.7,78,20,Damaged,63,4.1,No,15,Reject
Meat,22.5,67,40,Average,80.4,4.6,Yes,9,Caution
Fruits,25.4,53,1,Good,57.3,3.6,Yes,8,Safe
Vegetables,10.2,57,24,Average,58.3,4.1,No,3,Reject
Fruits,26.3,80,13,Good,9.8,7.1,Yes,1,Caution
Fruits,13.4,83,19,Good,59.3,4.9,No,8,Caution
Vegetables,29.5,86,12,Good,85.1,6.7,No,11,Reject
Meat,29.4,40,21,Good,18.8,4.5,Yes,11,Caution
Dairy,10.7,46,17,Average,10.2,3.8,No,15,Reject
Dairy,15.5,54,41,Good,43.5,6.1,Yes,20,Caution
Fruits,2.7,48,39,Good,84.7,6.3,Yes,23,Caution
Meat,31.6,64,17,Good,33.2,6.2,Yes,18,Caution
Fruits,33.3,92,30,Damaged,25,6,No,17,Reject
Fruits,0.5,50,7,Damaged,23,4.4,Yes,15,Caution
Fruits,16.7,79,37,Good,56.4,5,No,18,Reject
Dairy,30.5,66,34,Average,85.8,5.5,Yes,16,Reject
Meat,32,66,56,Good,55.5,3.4,Yes,8,Caution
Fruits,15.9,57,49,Average,75.6,5.6,Yes,7,Caution
Meat,2,41,43,Good,54.9,3.6,No,13,Caution
Fruits,2.8,80,48,Good,48.3,3.9,Yes,24,Caution
Grains,4.8,59,14,Good,61.9,7.1,No,6,Safe
Meat,30.7,62,13,Average,45,3.3,Yes,4,Caution
Grains,2.8,41,26,Damaged,79.5,4.4,No,2,Caution
Dairy,9,66,21,Damaged,47.7,5.9,Yes,17,Reject
Meat,16.9,95,39,Good,28.8,6,Yes,18,Reject
Grains,33.2,52,15,Average,76.4,4.1,No,10,Caution
Meat,14,81,20,Damaged,69.6,6,No,24,Reject
Fruits,30.9,91,47,Average,86.9,3.7,No,3,Reject
Dairy,13.5,62,40,Good,28.1,5.2,No,2,Caution
Fruits,20.8,50,39,Average,67.7,5.5,Yes,17,Reject
Dairy,22.4,53,47,Good,29.6,3.8,Yes,21,Caution
Fruits,16.3,73,27,Damaged,48.5,3.6,No,10,Reject
Meat,12,58,5,Average,88.4,3.3,No,9,Caution
Grains,24.1,42,12,Good,61.6,4,No,8,Caution
Vegetables,11.3,87,29,Good,58.6,3.6,No,6,Reject
Dairy,11.7,76,55,Damaged,79.6,3.3,Yes,24,Reject
Meat,23.9,82,31,Good,75,3.6,No,7,Reject
Meat,34.7,78,48,Good,49.8,4,Yes,19,Caution
Fruits,4.6,67,59,Damaged,25.3,3.4,Yes,10,Caution
Meat,33.5,93,21,Damaged,59.2,4.7,No,23,Reject
Vegetables,30,84,60,Good,38.4,4,No,5,Reject
Fruits,12.7,83,9,Good,29,6.9,No,13,Caution
Grains,12,76,29,Good,43.9,4,No,9,Caution
Fruits,31.2,94,28,Good,72.4,4.8,Yes,22,Reject
Meat,17,83,52,Good,39.3,4,No,17,Reject
Grains,34.7,94,1,Good,36.8,3.4,No,8,Caution
Fruits,26.3,72,57,Damaged,66.7,5.2,No,22,Reject
Vegetables,11.5,90,51,Good,24.4,6.4,Yes,18,Caution
Grains,8.1,48,31,Good,56.5,6.2,No,3,Caution
Vegetables,32.3,75,35,Good,23.9,7,Yes,11,Caution
Dairy,8.5,43,39,Average,66.9,4.5,Yes,5,Caution
Fruits,15.7,50,24,Average,50.5,6.8,No,11,Reject
Vegetables,17.4,78,33,Good,58.3,7.1,Yes,17,Caution
Fruits,28.2,40,17,Good,80,7,Yes,12,Caution
Dairy,30.4,50,59,Good,58.5,4.3,Yes,2,Caution
Grains,24.5,41,59,Damaged,50.9,4.6,No,18,Reject
Grains,27.4,90,40,Good,13,6.9,No,23,Reject
Meat,21.7,65,16,Good,57.4,4.5,Yes,12,Caution
Dairy,33.2,54,2,Good,88,4.5,No,7,Caution
Dairy,11.5,73,44,Good,62.1,3.3,Yes,1,Caution
Dairy,5.8,40,28,Good,8.9,4.6,Yes,7,Safe
Vegetables,30.7,86,24,Good,24.1,3.8,Yes,17,Reject
Grains,9.1,62,53,Good,25.8,3.9,No,24,Caution
Vegetables,7.6,76,40,Good,26.9,5.4,Yes,3,Safe
Vegetables,18.4,88,29,Good,36.9,5.9,Yes,10,Caution
Grains,2.4,81,3,Average,25.3,6.8,No,10,Safe
Fruits,13.7,80,38,Good,66.7,5.1,Yes,19,Caution
Dairy,3,62,30,Average,77.4,4.9,Yes,7,Caution
Dairy,14.9,87,59,Average,9.9,6.9,No,6,Reject
Dairy,19.5,70,60,Good,66.3,6,No,11,Reject
Dairy,13.4,59,4,Damaged,89,7.2,Yes,10,Caution
Meat,0.7,52,14,Good,54.5,6.2,Yes,14,Safe
Vegetables,12.8,89,45,Good,9.4,6.7,Yes,21,Caution
Grains,18.1,41,31,Good,76.9,7.1,No,11,Caution
Fruits,12.2,41,24,Good,40.8,5.8,No,12,Reject
Dairy,27.8,90,48,Average,82.9,3.8,Yes,4,Reject
Grains,2.4,92,42,Good,76.2,4,No,7,Caution
Vegetables,29.9,52,41,Damaged,27.3,6,Yes,24,Reject
Fruits,30.7,71,50,Good,69.4,4.9,Yes,24,Caution
Meat,27.4,48,34,Damaged,27.4,3.3,No,9,Reject
Grains,7.5,89,11,Good,81.2,6.5,No,7,Safe
Vegetables,8.8,89,38,Damaged,45.8,4.4,No,9,Reject
Meat,15.2,66,11,Good,72.7,4.7,Yes,16,Caution
Vegetables,29.8,43,33,Good,76.8,3.2,No,23,Reject
Meat,3.3,72,16,Average,71.1,3.9,No,3,Caution
Meat,0.5,90,41,Good,67,3.4,Yes,22,Caution
Dairy,10.7,62,23,Good,25.1,6.1,Yes,4,Caution
Dairy,3.1,79,46,Average,58.8,3.8,No,14,Reject
Grains,28.2,88,28,Good,45.8,6,No,2,Caution
Fruits,22.2,75,27,Good,28.3,5.4,Yes,9,Caution
Dairy,28.3,46,35,Good,10.6,5.6,No,18,Reject
Vegetables,28,89,4,Good,20,7,Yes,18,Caution
Grains,4.6,81,34,Good,73.8,4.9,No,4,Safe
Meat,4.7,60,11,Good,38.8,4.8,Yes,8,Safe
Grains,31.9,50,2,Damaged,43.9,5.2,No,14,Caution
Grains,5.5,81,41,Average,47.2,4.7,No,7,Caution
Grains,5.7,86,17,Damaged,28.2,4.9,No,23,Reject
Grains,11.2,48,11,Good,79.7,4,No,18,Caution
Fruits,1.4,79,4,Damaged,15.7,5.2,Yes,4,Safe
Vegetables,5.6,93,16,Good,65.4,6.6,Yes,10,Caution
Grains,26.6,74,28,Damaged,83.4,6,No,6,Reject
Dairy,27.4,46,23,Good,63.9,3.4,Yes,22,Caution
Meat,9.2,81,45,Good,8.8,4.6,No,10,Caution
Meat,9.4,44,55,Good,63.6,4.6,Yes,6,Caution
Vegetables,27.8,80,13,Damaged,13.8,6,Yes,10,Caution
Vegetables,14.2,61,5,Damaged,58,4.3,Yes,1,Caution
Meat,25.5,68,29,Damaged,41.4,3.6,No,21,Reject
Dairy,22.8,63,22,Average,58.4,6.2,Yes,6,Caution
Dairy,9.6,70,1,Average,27.4,4.5,No,23,Caution
Grains,23.3,52,6,Damaged,27.3,5.9,No,8,Caution
Meat,17.7,68,57,Damaged,87,5.9,Yes,20,Reject
Fruits,23,83,36,Good,34.2,6.2,No,3,Reject
Meat,33.3,64,41,Good,71.9,3.4,Yes,22,Caution
Meat,2.1,94,39,Good,27.7,6.3,No,21,Reject
Meat,15.7,74,55,Average,27.3,6.6,Yes,1,Caution
Dairy,1.4,81,12,Average,41.6,5.6,No,14,Caution
Vegetables,1.1,56,28,Average,39.9,6.7,Yes,17,Caution
Grains,20.7,67,53,Good,83.3,6.3,No,12,Caution
Meat,10,75,49,Good,45.7,6.2,Yes,17,Caution
Grains,11.4,77,39,Average,11.9,6.1,No,7,Caution
Grains,21.5,82,59,Average,49.8,5.3,No,3,Caution
Fruits,6,86,39,Good,62.7,6.5,No,17,Reject
Vegetables,25.5,50,59,Good,60.3,4.1,No,4,Reject
Fruits,10.2,46,29,Good,44.8,3.9,No,13,Reject
Grains,8,67,4,Good,21.6,5,No,6,Safe
Meat,20.4,59,49,Good,62.1,6.6,No,3,Reject
Meat,20.9,58,27,Good,67.2,5.7,No,24,Reject
Vegetables,30.7,49,51,Good,12.1,7.1,Yes,19,Caution
Meat,33.6,67,11,Good,86.7,4.7,Yes,10,Caution
Fruits,25.1,52,47,Good,48.4,4.6,No,6,Reject
Meat,6.1,66,16,Good,88.4,3.5,No,17,Caution
Meat,15,55,25,Good,59.8,6.9,Yes,16,Caution
Vegetables,29.9,95,39,Damaged,71.2,5.9,No,14,Reject
Dairy,12.1,63,3,Good,62,6.1,No,14,Caution
Fruits,19.5,47,25,Good,10.9,6.4,No,20,Reject
Grains,32.3,59,59,Good,80.2,5.4,No,17,Caution
Dairy,25.7,85,11,Good,48.6,6.8,Yes,9,Caution
Vegetables,14.9,41,43,Good,57.3,5.1,Yes,17,Caution
Meat,9.7,79,7,Damaged,89.2,5.7,Yes,16,Caution
Meat,9.3,95,5,Good,24.6,4.4,Yes,20,Caution
Vegetables,34.8,62,7,Good,59.1,7.1,Yes,20,Caution
Grains,33.2,80,7,Good,55.4,3.6,No,16,Caution
Fruits,14.3,94,60,Good,32.9,6.8,Yes,6,Caution
Meat,3.4,42,10,Damaged,56.2,6.8,Yes,16,Caution
Fruits,21.6,45,39,Damaged,8.4,5.3,No,8,Reject
Grains,30.4,57,44,Good,44.5,4.3,No,12,Caution
Meat,16.1,60,28,Average,15.2,3.6,Yes,14,Reject
Meat,16.9,85,45,Good,64.8,5.6,No,3,Reject
Grains,32,94,35,Good,28.1,5.4,No,12,Reject
Fruits,17.9,86,16,Good,49.8,5.4,No,8,Reject
Grains,12.1,60,47,Good,28.1,7.2,No,2,Caution
Meat,12.7,56,9,Good,86.5,6.8,Yes,2,Safe
Fruits,8.5,49,11,Good,38,3.6,Yes,18,Caution
Vegetables,18.3,42,39,Average,72.7,4.7,Yes,3,Caution
Dairy,17.1,47,29,Average,63.5,3.7,Yes,13,Reject
Meat,9.5,60,26,Good,18.2,5.1,Yes,7,Caution
Grains,25,40,18,Good,63.9,4.6,No,13,Caution
Dairy,27.4,62,28,Good,34.5,7.1,Yes,11,Caution
Dairy,25.8,44,48,Good,39.8,5.6,Yes,5,Caution
Fruits,31.3,50,13,Good,87.6,3.6,Yes,24,Caution
Fruits,19.1,59,31,Good,23.1,4.1,Yes,3,Caution
Meat,6.5,87,37,Average,77.3,7.1,Yes,14,Caution
Vegetables,20.5,47,57,Damaged,89.4,3.3,No,9,Reject
Fruits,31.7,93,32,Good,51,7.2,Yes,3,Caution
Grains,28.4,67,2,Good,36,5,No,8,Safe
Vegetables,17.9,43,31,Good,66.9,6.3,Yes,11,Caution
Grains,2.6,60,56,Average,17.4,6.6,No,10,Caution
Vegetables,32.8,62,48,Good,10.1,4.2,No,7,Reject
Meat,33.7,69,25,Average,54.7,4.8,Yes,1,Caution
Fruits,25.1,49,13,Damaged,70.9,4.7,Yes,21,Reject
Vegetables,21.5,65,28,Good,50.6,7.1,Yes,16,Caution
Vegetables,5.7,49,42,Damaged,71.2,5.7,Yes,12,Caution
Dairy,19.6,51,47,Good,68.9,3.6,No,7,Reject
Grains,16,50,50,Good,75.7,4.3,No,22,Caution
Fruits,19.1,89,30,Damaged,9.9,4.9,Yes,8,Reject
Fruits,12.8,91,25,Good,29.8,4.5,No,9,Reject
Grains,15.4,46,58,Good,46.1,3.5,No,24,Caution
Dairy,15.5,55,38,Good,42.5,3.2,No,7,Reject
Fruits,32.4,88,52,Good,70.5,5.4,Yes,2,Caution
Vegetables,4.4,94,27,Good,82.2,6.1,Yes,13,Caution
Vegetables,10.5,57,26,Damaged,41.7,6.8,No,22,Reject
Fruits,10.7,91,12,Good,58.7,4.3,No,10,Caution
Grains,9.6,78,40,Good,74,5.8,No,8,Caution
Vegetables,28.1,69,55,Good,72.5,6.6,Yes,11,Caution
Vegetables,4.5,44,49,Good,8.1,4.6,No,21,Caution
Fruits,10.4,45,38,Damaged,82.1,5,Yes,1,Caution
Fruits,24.3,45,6,Average,57.4,6.9,No,7,Caution
Grains,28.7,74,59,Average,83.8,7,No,8,Caution
Grains,27.8,43,41,Damaged,62.4,4.3,No,18,Reject
Grains,30.1,84,12,Damaged,26.5,4.6,No,16,Reject
Dairy,20.2,90,39,Good,63.4,6.9,No,5,Reject
Grains,5.5,45,22,Good,73.6,6.4,No,5,Safe
Dairy,2.3,90,60,Good,9.8,3.8,No,11,Reject
Meat,9.3,94,24,Good,32.1,6.4,Yes,13,Caution
Fruits,33.9,93,41,Good,32.7,6.6,Yes,16,Reject
Fruits,6.1,43,6,Good,53.4,5.7,Yes,2,Safe
Vegetables,0.9,94,49,Damaged,87.7,3.6,Yes,12,Reject
Dairy,14.7,90,22,Good,55,6.9,Yes,13,Caution
Dairy,26.4,81,31,Average,15.4,5.7,Yes,3,Caution
Meat,29.2,61,52,Good,45.1,4.5,No,24,Reject
Dairy,8.9,45,34,Average,56.5,4.7,No,8,Reject
Vegetables,16.8,72,37,Good,67.5,4.6,Yes,22,Caution
Dairy,8,56,48,Damaged,64.7,4,Yes,19,Caution
Fruits,18.3,54,24,Good,8.6,5.6,Yes,18,Caution
Dairy,32.4,56,47,Good,34.3,5.5,Yes,19,Caution
Vegetables,29.1,79,46,Damaged,55.5,5.9,Yes,8,Reject
Fruits,10.8,67,50,Damaged,38.7,3.7,Yes,22,Reject
Meat,21.4,77,56,Damaged,48,4.8,Yes,8,Reject
Meat,29.7,58,14,Good,39.8,4.5,Yes,15,Caution
Meat,1.4,48,44,Damaged,10.2,5.7,Yes,8,Caution
Vegetables,34.4,71,15,Good,39.3,5.5,Yes,4,Caution
Meat,10.7,78,15,Average,50.5,5.1,Yes,2,Caution
Fruits,9.9,61,11,Average,75.6,6.9,Yes,4,Caution
Vegetables,34.2,78,17,Good,78.5,4.5,Yes,14,Caution
Meat,31.9,62,11,Damaged,71.2,4.9,Yes,5,Caution
Fruits,25.1,65,49,Good,86.1,5.3,Yes,21,Caution
Dairy,23.7,86,56,Good,33.3,4,Yes,17,Reject
Vegetables,30.4,67,33,Average,24.2,5.2,Yes,9,Caution
Dairy,16.6,69,25,Average,34,6.8,Yes,2,Caution
Fruits,25.7,61,42,Good,75.5,6.4,No,14,Reject
Dairy,9,62,9,Average,35,5.7,No,21,Reject
Grains,9.7,54,41,Good,9.9,5.6,No,15,Caution
Grains,20.5,72,26,Average,62.6,7,No,18,Reject
Vegetables,27,91,49,Average,81.5,5.1,Yes,20,Reject
Dairy,30,78,24,Good,9.9,3.7,No,3,Reject
Grains,16.6,77,17,Good,48.1,6,No,1,Caution
Grains,31.6,88,52,Good,53.4,7.1,No,9,Caution
Meat,12.9,93,10,Good,79.4,5,Yes,7,Caution
Dairy,18.7,54,25,Good,87.1,6.8,No,10,Reject
Grains,12.5,83,60,Average,25.4,3.6,No,4,Caution
Vegetables,34.3,66,20,Good,49.7,4.6,Yes,3,Caution
Grains,34.1,41,59,Good,72.8,4.1,No,2,Caution
Dairy,27.9,85,1,Average,50.8,7.1,No,5,Caution
Grains,34.6,44,28,Good,12.5,7.1,No,8,Caution
Meat,13,69,4,Good,11.2,4.1,Yes,20,Safe
Fruits,22.7,68,23,Good,28.3,6.8,No,6,Reject
Vegetables,20.4,46,7,Good,48.2,3.9,Yes,20,Caution
Meat,20.6,86,55,Damaged,31.8,6.6,Yes,11,Reject
Meat,35,53,9,Good,27.4,4.9,Yes,14,Caution
Grains,4.2,51,13,Average,12.2,6.2,No,1,Safe
Dairy,1.1,79,8,Damaged,23.6,3.7,Yes,2,Caution
Dairy,0.8,65,9,Average,84.5,6.2,Yes,2,Safe
Fruits,23,66,52,Damaged,37.6,5.9,Yes,4,Reject
Meat,29.4,58,15,Good,87.3,3.8,No,6,Caution
Meat,30.3,54,15,Average,17.3,5.7,Yes,13,Caution
Grains,14.8,40,3,Good,21.4,7,No,18,Safe
Vegetables,26.4,45,33,Average,58.1,5.1,Yes,4,Caution
Grains,3.4,85,29,Good,10.6,6.6,No,17,Caution
